ticket_id,event_id,event_name,event_type,event_date,sale_date,days_until_event,seat_section,ticket_price,quantity_sold,city,venue_capacity
TKT_000058,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-31,35,Floor,276.48,1,Chicago,5000
TKT_000059,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-26,40,General Admission,102.8,2,Chicago,5000
TKT_000060,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,Upper Bowl,107.52,2,Chicago,5000
TKT_000061,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-05,90,Upper Bowl,109.72,2,Chicago,5000
TKT_000062,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-02,64,Upper Bowl,92.34,1,Chicago,5000
TKT_000063,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-10,56,Lower Bowl,181.09,1,Chicago,5000
TKT_000064,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-05,30,General Admission,105.49,1,Chicago,5000
TKT_000065,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-08,87,Lower Bowl,175.44,3,Chicago,5000
TKT_000066,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-12,23,Upper Bowl,126.14,2,Chicago,5000
TKT_000067,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-30,36,Floor,330.56,2,Chicago,5000
TKT_000068,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-03,63,VIP,357.84,2,Chicago,5000
TKT_000069,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-24,42,VIP,432.05,1,Chicago,5000
TKT_000070,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-06,89,Upper Bowl,96.53,4,Chicago,5000
TKT_000071,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-24,71,VIP,356.75,1,Chicago,5000
TKT_000072,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-24,42,VIP,441.12,2,Chicago,5000
TKT_000073,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-29,66,VIP,371.35,2,Chicago,5000
TKT_000074,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-13,53,VIP,353.26,1,Chicago,5000
TKT_000075,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-02,64,Upper Bowl,106.04,1,Chicago,5000
TKT_000076,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-24,71,Floor,281.37,2,Chicago,5000
TKT_000077,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-05,90,Upper Bowl,93.17,5,Chicago,5000
TKT_000078,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-17,78,Floor,270.08,1,Chicago,5000
TKT_000079,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-03,2,General Admission,117.6,1,Chicago,5000
TKT_000080,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-20,15,Upper Bowl,142.76,2,Chicago,5000
TKT_000081,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-15,20,Upper Bowl,138.73,1,Chicago,5000
TKT_000082,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-31,35,Upper Bowl,125.47,6,Chicago,5000
TKT_000083,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-03,32,Upper Bowl,120.84,1,Chicago,5000
TKT_000084,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-18,77,General Admission,90.66,1,Chicago,5000
TKT_000085,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-26,9,Lower Bowl,244.18,4,Chicago,5000
TKT_000086,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-22,44,General Admission,91.16,1,Chicago,5000
TKT_000087,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-27,39,General Admission,100.07,2,Chicago,5000
TKT_000088,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-15,20,Upper Bowl,128.67,1,Chicago,5000
TKT_000089,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-24,71,General Admission,84.28,4,Chicago,5000
TKT_000090,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-10,25,Floor,324.27,1,Chicago,5000
TKT_000091,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-13,53,VIP,363.1,2,Chicago,5000
TKT_000092,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-17,49,Upper Bowl,118.76,3,Chicago,5000
TKT_000093,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-11,84,Floor,258.96,1,Chicago,5000
TKT_000094,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-01,65,General Admission,83.5,1,Chicago,5000
TKT_000095,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-09,57,VIP,369.11,2,Chicago,5000
TKT_000096,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-16,19,Upper Bowl,137.87,5,Chicago,5000
TKT_000097,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-25,10,Upper Bowl,141.97,1,Chicago,5000
TKT_000098,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-15,80,Upper Bowl,103.82,4,Chicago,5000
TKT_000099,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-08,87,General Admission,84.33,1,Chicago,5000
TKT_000100,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-03,63,General Admission,78.38,1,Chicago,5000
TKT_000101,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-14,81,Lower Bowl,189.99,3,Chicago,5000
TKT_000102,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-10,56,VIP,388.85,3,Chicago,5000
TKT_000103,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-22,13,Upper Bowl,123.55,1,Chicago,5000
TKT_000104,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-01,4,VIP,477.03,1,Chicago,5000
TKT_000105,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-20,46,Lower Bowl,186.31,1,Chicago,5000
TKT_000106,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-13,53,General Admission,93.72,1,Chicago,5000
TKT_000107,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-12,23,VIP,458.63,1,Chicago,5000
TKT_000108,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-07,88,Floor,259.08,2,Chicago,5000
TKT_000109,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-05,30,Upper Bowl,124.3,2,Chicago,5000
TKT_000110,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-09,86,VIP,388.72,2,Chicago,5000
TKT_000111,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,General Admission,92.83,2,Chicago,5000
TKT_000112,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-21,45,General Admission,91.22,5,Chicago,5000
TKT_000113,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-06,89,Lower Bowl,171.31,1,Chicago,5000
TKT_000114,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-16,50,Upper Bowl,99.06,1,Chicago,5000
TKT_000115,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-20,46,General Admission,90.61,2,Chicago,5000
TKT_000116,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-02,3,Upper Bowl,132.83,2,Chicago,5000
TKT_000117,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-07,88,VIP,389.56,3,Chicago,5000
TKT_000118,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,Floor,305.35,1,Chicago,5000
TKT_000119,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-13,82,Floor,265.47,2,Chicago,5000
TKT_000120,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-10,85,Floor,265.85,4,Chicago,5000
TKT_000121,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-12,83,VIP,346.24,2,Chicago,5000
TKT_000122,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-20,75,Lower Bowl,180.83,1,Chicago,5000
TKT_000123,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-28,38,Lower Bowl,207.95,1,Chicago,5000
TKT_000124,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-18,17,General Admission,119.54,1,Chicago,5000
TKT_000125,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-01,65,Lower Bowl,184.22,1,Chicago,5000
TKT_000126,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-04,62,Lower Bowl,181.32,1,Chicago,5000
TKT_000127,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-20,15,Upper Bowl,143.17,1,Chicago,5000
TKT_000128,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-06,29,Upper Bowl,133.0,3,Chicago,5000
TKT_000129,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-19,47,VIP,413.94,1,Chicago,5000
TKT_000130,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-26,69,VIP,356.74,2,Chicago,5000
TKT_000131,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-08,87,Lower Bowl,175.72,3,Chicago,5000
TKT_000132,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-18,48,VIP,402.4,2,Chicago,5000
TKT_000133,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-15,80,General Admission,83.43,2,Chicago,5000
TKT_000134,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-12,83,VIP,369.75,2,Chicago,5000
TKT_000135,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-05,90,Lower Bowl,177.96,1,Chicago,5000
TKT_000136,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-29,6,VIP,470.44,2,Chicago,5000
TKT_000137,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-22,13,Floor,366.78,1,Chicago,5000
TKT_000138,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-07,59,Lower Bowl,179.88,3,Chicago,5000
TKT_000139,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-25,70,Upper Bowl,102.56,3,Chicago,5000
TKT_000140,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-12,54,VIP,399.39,2,Chicago,5000
TKT_000141,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-30,36,VIP,433.49,1,Chicago,5000
TKT_000142,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-09,57,Floor,283.18,1,Chicago,5000
TKT_000143,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-07,88,Lower Bowl,174.34,5,Chicago,5000
TKT_000144,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-20,46,VIP,385.58,1,Chicago,5000
TKT_000145,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-19,16,Upper Bowl,119.72,1,Chicago,5000
TKT_000146,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-13,82,General Admission,94.54,1,Chicago,5000
TKT_000147,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-23,43,Floor,316.79,3,Chicago,5000
TKT_000148,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-08,27,VIP,468.17,2,Chicago,5000
TKT_000149,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-19,76,Floor,275.43,1,Chicago,5000
TKT_000150,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-16,19,General Admission,99.08,4,Chicago,5000
TKT_000151,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-16,19,Floor,332.7,3,Chicago,5000
TKT_000152,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-20,15,VIP,433.54,1,Chicago,5000
TKT_000153,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-04,31,General Admission,99.47,1,Chicago,5000
TKT_000154,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-28,7,Floor,367.74,2,Chicago,5000
TKT_000155,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-26,9,Upper Bowl,133.67,1,Chicago,5000
TKT_000156,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-19,76,VIP,356.54,1,Chicago,5000
TKT_000157,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-16,79,VIP,376.36,4,Chicago,5000
TKT_000158,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-10,85,General Admission,82.97,2,Chicago,5000
TKT_000159,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-01,4,VIP,543.7,3,Chicago,5000
TKT_000160,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-11,55,VIP,371.28,4,Chicago,5000
TKT_000161,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-25,10,VIP,462.92,1,Chicago,5000
TKT_000162,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-18,17,Lower Bowl,227.86,2,Chicago,5000
TKT_000163,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-24,42,Upper Bowl,124.06,2,Chicago,5000
TKT_000164,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-07,59,General Admission,88.81,1,Chicago,5000
TKT_000165,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-05,90,VIP,385.4,2,Chicago,5000
TKT_000166,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-24,71,Floor,255.57,4,Chicago,5000
TKT_000167,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-13,53,Lower Bowl,192.71,1,Chicago,5000
TKT_000168,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-22,13,Lower Bowl,223.62,2,Chicago,5000
TKT_000169,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-18,48,Floor,290.4,2,Chicago,5000
TKT_000170,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-23,12,VIP,436.54,1,Chicago,5000
TKT_000171,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-18,48,Floor,283.09,2,Chicago,5000
TKT_000172,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-23,72,General Admission,83.46,1,Chicago,5000
TKT_000173,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-20,46,Upper Bowl,118.32,3,Chicago,5000
TKT_000174,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,General Admission,95.91,1,Chicago,5000
TKT_000175,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-01,65,Floor,241.3,2,Chicago,5000
TKT_000176,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-21,14,Lower Bowl,241.39,1,Chicago,5000
TKT_000177,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-30,36,General Admission,94.73,2,Chicago,5000
TKT_000178,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-23,72,General Admission,88.36,2,Chicago,5000
TKT_000179,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-01,4,General Admission,128.84,3,Chicago,5000
TKT_000180,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-31,35,VIP,393.15,3,Chicago,5000
TKT_000181,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-26,40,Lower Bowl,190.0,1,Chicago,5000
TKT_000182,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-16,19,General Admission,113.48,1,Chicago,5000
TKT_000183,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-13,82,VIP,330.61,2,Chicago,5000
TKT_000184,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-17,49,Upper Bowl,107.19,1,Chicago,5000
TKT_000185,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-26,40,Lower Bowl,206.68,2,Chicago,5000
TKT_000186,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-24,11,VIP,444.7,3,Chicago,5000
TKT_000187,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-28,7,VIP,464.99,2,Chicago,5000
TKT_000188,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-03,63,General Admission,85.4,1,Chicago,5000
TKT_000189,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-29,66,VIP,348.85,1,Chicago,5000
TKT_000190,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-08,87,General Admission,86.17,2,Chicago,5000
TKT_000191,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-29,6,Floor,345.13,2,Chicago,5000
TKT_000192,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-04,1,Floor,346.81,1,Chicago,5000
TKT_000193,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-17,18,Lower Bowl,211.87,1,Chicago,5000
TKT_000194,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-02,64,Upper Bowl,94.26,1,Chicago,5000
TKT_000195,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-05,30,General Admission,104.9,2,Chicago,5000
TKT_000196,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-20,46,VIP,385.5,3,Chicago,5000
TKT_000197,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-10,56,VIP,366.63,1,Chicago,5000
TKT_000198,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-25,41,General Admission,95.97,2,Chicago,5000
TKT_000199,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-13,82,Upper Bowl,96.56,2,Chicago,5000
TKT_000200,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-24,42,Floor,307.8,2,Chicago,5000
TKT_000201,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-09-14,89,Lower Bowl,93.6,3,New York,8000
TKT_000202,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-11-10,32,Upper Bowl,71.86,2,New York,8000
TKT_000203,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-10-22,51,Lower Bowl,113.44,1,New York,8000
TKT_000204,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-11-20,22,VIP,266.89,1,New York,8000
TKT_000205,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-10-07,66,Floor,165.42,1,New York,8000
TKT_000206,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-09-20,83,Floor,144.93,1,New York,8000
TKT_000207,EVT_0001,Yankees vs Red Sox - New York,Sports,2024-12-12,2024-11-16,26,Floor,191.52,3,New York,8000
